Crop,Month,Year,Rainfall,WPI
Jowar,9,2015,131.8,108.4
Jowar,10,2015,42.9,114.4
Jowar,11,2015,39.4,113.4
Jowar,12,2015,15,119.2
Jowar,1,2016,19.3,115.4
Jowar,2,2016,22.8,116.1
Jowar,3,2016,27.6,115.8
Jowar,4,2016,37.4,115.5
Jowar,5,2016,62.6,118.7
Jowar,6,2016,168.3,120.9
Jowar,7,2016,289.1,120.1
Jowar,8,2016,256.3,121.4
Jowar,9,2016,171.9,124
Jowar,10,2016,76.1,121.9
Jowar,11,2016,29.7,123.2
Jowar,12,2016,14.9,127.8
Jowar,1,2017,19,132.3
Jowar,2,2017,22.6,136
Jowar,3,2017,27.8,132.1
Jowar,4,2017,37.9,131.6
Jowar,5,2017,62.4,130.5
Jowar,6,2017,168.1,126.9
Jowar,7,2017,289.3,126.3
Jowar,8,2017,256.2,124.5
Jowar,9,2017,171.5,126.1
Jowar,10,2017,76.3,123.3
Jowar,11,2017,29.9,118.5
Jowar,12,2017,15,121.3
Jowar,1,2018,19.2,118.3
Jowar,2,2018,20.1,115.9
Jowar,3,2018,27.1,118.1
Jowar,4,2018,40.2,118
Jowar,5,2018,62.7,117
Jowar,6,2018,165,119.3
Jowar,7,2018,286.3,119.6
Jowar,8,2018,254.3,121.9
Jowar,9,2018,171.9,121.4
Jowar,10,2018,77.2,125.8
Jowar,11,2018,28.1,137.7
Jowar,12,2018,14.1,142.3
Jute,4,2012,47.5,101.6
Jute,5,2012,31.7,99.3
Jute,6,2012,117.8,104
Jute,7,2012,250.2,111.6
Jute,8,2012,262.4,114.2
Jute,9,2012,193.5,116.1
Jute,10,2012,58.7,110.8
Jute,11,2012,30.7,108.1
Jute,12,2012,11.7,106.5
Jute,1,2013,11.3,111.5
Jute,2,2013,40.1,116.3
Jute,3,2013,15.7,123.8
Jute,4,2013,30.4,124
Jute,5,2013,57.8,122.7
Jute,6,2013,219.8,119.3
Jute,7,2013,310,117.7
Jute,8,2013,254.7,113.5
Jute,9,2013,152.7,113.7
Jute,10,2013,129.4,119.9
Jute,11,2013,14,117.8
Jute,12,2013,6.7,124.9
Jute,1,2014,19.2,126.3
Jute,2,2014,27.4,126.2
Jute,3,2014,36.1,124.8
Jute,4,2014,22.2,127.6
Jute,5,2014,72.9,133
Jute,6,2014,95.4,134.1
Jute,7,2014,261.2,128.6
Jute,8,2014,237.5,123.7
Jute,9,2014,188,124.3
Jute,10,2014,60.2,128
Jute,11,2014,14.4,133.8
Jute,12,2014,10.7,137.1
Jute,1,2015,17.4,136.8
Jute,2,2015,21,140.8
Jute,3,2015,62,141.6
Jute,4,2015,69.4,141.1
Jute,5,2015,53.8,142
Jute,6,2015,192.8,159.7
Jute,7,2015,242.4,161.9
Jute,8,2015,205.2,160.1
Jute,9,2015,131.8,167.2
Jute,10,2015,42.9,181
Jute,11,2015,39.4,195.9
Jute,12,2015,15,204.5
Jute,1,2016,19.3,217.3
Jute,2,2016,22.8,221.7
Jute,3,2016,27.6,225.8
Jute,4,2016,37.4,229.4
Jute,5,2016,62.6,231.5
Jute,6,2016,168.3,251
Jute,7,2016,289.1,242.9
Jute,8,2016,256.3,196.8
Jute,9,2016,171.9,194
Jute,10,2016,76.1,194.2
Jute,11,2016,29.7,196.7
Jute,12,2016,14.9,190.2
Jute,1,2017,19,190.2
Jute,2,2017,22.6,190.6
Jute,3,2017,27.8,188.3
Jute,4,2017,37.9,168.9
Jute,5,2017,62.4,163.5
Jute,6,2017,168.1,163.3
Jute,7,2017,289.3,158.1
Jute,8,2017,256.2,154.6
Jute,9,2017,171.5,159.9
Jute,10,2017,76.3,158
Jute,11,2017,29.9,152.4
Jute,12,2017,15,154.4
Jute,1,2018,19.2,159.5
Jute,2,2018,20.1,166.8
Jute,3,2018,27.1,165.8
Jute,4,2018,40.2,166.1
Jute,5,2018,62.7,166.3
Jute,6,2018,165,166.9
Jute,7,2018,286.3,170.2
Jute,8,2018,254.3,172.7
Jute,9,2018,171.9,181.7
Jute,10,2018,77.2,182.8
Jute,11,2018,28.1,184.8
Jute,12,2018,14.1,189.3
Maize,4,2012,47.5,107.9
Maize,5,2012,31.7,105.5
Maize,6,2012,117.8,107.2
Maize,7,2012,250.2,111.3
Maize,8,2012,262.4,117.8
Maize,9,2012,193.5,117.3
Maize,10,2012,58.7,117.8
Maize,11,2012,30.7,117.9
Maize,12,2012,11.7,121.2
Maize,1,2013,11.3,123.4
Maize,2,2013,40.1,122.9
Maize,3,2013,15.7,121.8
Maize,4,2013,30.4,121.4
Maize,5,2013,57.8,120.6
Maize,6,2013,219.8,126.1
Maize,7,2013,310,127.6
Maize,8,2013,254.7,126.5
Maize,9,2013,152.7,128.9
Maize,10,2013,129.4,121.2
Maize,11,2013,14,122.1
Maize,12,2013,6.7,123
Maize,1,2014,19.2,120.1
Maize,2,2014,27.4,118.9
Maize,3,2014,36.1,121
Maize,4,2014,22.2,119.2
Maize,5,2014,72.9,118.3
Maize,6,2014,95.4,119.8
Maize,7,2014,261.2,124.6
Maize,8,2014,237.5,121.7
Maize,9,2014,188,117.4
Maize,10,2014,60.2,114.2
Maize,11,2014,14.4,113
Maize,12,2014,10.7,113.7
Maize,1,2015,17.4,118.6
Maize,2,2015,21,119.3
Maize,3,2015,62,122.4
Maize,4,2015,69.4,121.4
Maize,5,2015,53.8,118.9
Maize,6,2015,192.8,118.3
Maize,7,2015,242.4,119.9
Maize,8,2015,205.2,120.4
Maize,9,2015,131.8,121.9
Maize,10,2015,42.9,123.5
Maize,11,2015,39.4,126.6
Maize,12,2015,15,129.2
Maize,1,2016,19.3,133.8
Maize,2,2016,22.8,135.9
Maize,3,2016,27.6,135.8
Maize,4,2016,37.4,135.2
Maize,5,2016,62.6,135.2
Maize,6,2016,168.3,136.6
Maize,7,2016,289.1,142.2
Maize,8,2016,256.3,139.3
Maize,9,2016,171.9,139.8
Maize,10,2016,76.1,138.6
Maize,11,2016,29.7,137.7
Maize,12,2016,14.9,134
Maize,1,2017,19,134.6
Maize,2,2017,22.6,135.6
Maize,3,2017,27.8,135.2
Maize,4,2017,37.9,135.5
Maize,5,2017,62.4,134.2
Maize,6,2017,168.1,132.6
Maize,7,2017,289.3,129.2
Maize,8,2017,256.2,127.7
Maize,9,2017,171.5,125.1
